DATE,PTR,Rf,Mkt-Rf,SMB,HML,OilPriceChg,USDAPPR,PTR-Rf,NTES-Rf
7/1/2006,5.96,0.40,-0.78,-3.99,2.62,4.86,0.00,5.56,-22.93
8/1/2006,-1.94,0.42,2.03,1.01,-2.04,-1.83,0.00,-2.36,0.74
9/1/2006,-1.78,0.41,1.84,-1.34,0.06,-12.57,-0.04,-2.19,-6.92
10/1/2006,2.55,0.41,3.23,1.72,-0.26,-7.81,-0.33,2.14,0.45
11/1/2006,16.04,0.42,1.71,0.72,0.11,0.83,-0.34,15.62,11.46
12/1/2006,9.90,0.40,0.87,-1.13,2.71,4.48,-0.22,9.50,0.85
1/1/2007,-12.40,0.44,1.40,0.14,-0.70,-12.03,-0.01,-12.84,8.92
2/1/2007,-5.64,0.38,-1.96,1.18,-0.12,8.59,-0.89,-6.02,-0.58
3/1/2007,0.62,0.43,0.68,0.15,-0.94,2.19,0.19,0.19,-13.47
4/1/2007,-2.52,0.44,3.49,-2.17,-1.43,5.63,-0.74,-2.96,1.48
5/1/2007,15.25,0.41,3.24,0.23,-0.62,-0.80,0.69,14.84,-0.57
6/1/2007,15.04,0.40,-1.96,0.76,-1.07,6.33,0.05,14.64,-6.11
7/1/2007,-0.96,0.40,-3.73,-2.61,-3.73,9.93,0.40,-1.36,-0.46
8/1/2007,-0.14,0.42,0.92,-0.14,-1.89,-2.41,0.10,-0.56,-3.18
9/1/2007,28.25,0.32,3.22,-2.22,-2.23,10.42,0.95,27.93,1.86
10/1/2007,41.86,0.32,1.80,0.12,-3.11,7.84,0.35,41.54,22.82
11/1/2007,-26.98,0.34,-4.83,-2.93,-0.94,9.77,-0.29,-27.32,-2.93
12/1/2007,-8.49,0.27,-0.87,0.16,-0.52,-3.05,-1.20,-8.76,-6.73
1/1/2008,-18.91,0.21,-6.36,-0.98,4.01,1.33,0.00,-19.12,-4.90
2/1/2008,3.19,0.13,-3.09,-0.41,-0.84,2.58,-0.01,3.06,18.58
3/1/2008,-14.65,0.17,-0.93,0.77,0.35,10.71,0.00,-14.82,-10.61
4/1/2008,20.61,0.18,4.60,-1.72,-1.09,6.64,0.00,20.43,16.01
5/1/2008,-4.20,0.18,1.86,2.95,-1.53,11.39,0.00,-4.38,1.75
6/1/2008,-9.60,0.17,-8.44,1.24,-2.70,6.81,0.13,-9.77,-4.39
7/1/2008,3.57,0.15,-0.77,2.56,5.27,-0.37,-0.75,3.42,4.03
8/1/2008,-3.19,0.13,1.53,3.50,1.48,-12.61,-0.66,-3.32,14.89
9/1/2008,-18.99,0.15,-9.24,-1.24,5.90,-10.90,0.14,-19.14,-12.83
10/1/2008,-27.40,0.08,-17.23,-2.52,-2.22,-26.23,0.04,-27.48,-1.40
11/1/2008,10.73,0.03,-7.86,-2.87,-6.30,-25.06,-0.17,10.70,-18.25
12/1/2008,7.75,0.00,1.74,3.49,0.07,-28.59,0.93,7.75,20.11
1/1/2009,-17.09,0.00,-8.12,0.18,-11.11,1.76,-0.49,-17.09,-13.98
